ID,Schenk_Jackson_2002,latitude,longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
SG10b,YES,43.95,-101.87,744,Total,mass,1.74,0.6,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1089,400,summer maximum,0.1,0.5,0.14,0.95
SG10c,YES,46.9,-102.82,784,Total,mass,1.87,0.6,no,coarse,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1168,400,summer maximum,0.03,0.46,0.05,0.89
SG10g,YES,35.3,-101.53,1075,Total,mass,0.79,0.6,no,fine,0,0,0,0,0,1,1,1,-999,N,N,Grassland,10,1375,500,summer maximum,0.09,0.51,0.14,0.98
SG10h,YES,40.82,-104.77,1652,Total,mass,1.35,0.6,no,medium,0,0,0,1,0,1,1,1,-999,N,N,Grassland,10,1248,300,summer maximum,0.09,0.51,0.14,0.98
SG11,YES,40.82,-104.77,1630,Total,mass,1.05,0.6,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1248,300,summer maximum,0.06,0.36,0.06,0.48
SG20,YES,50.7,-107.8,680,Total,mass,2.42,1.5,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1025,338,summer maximum,0.23,1.23,0.31,2.28
SG23f,YES,47.28,38,-999,Total,mass,1.63,1,no,fine,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,732,438,"non-tropical,",0.12,0.69,0.13,1.06
SG23g,YES,47.28,38,-999,Total,mass,1.47,1,no,fine,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,732,438,"non-tropical,",0.11,0.73,0.13,1.22
SG23h,YES,46.5,33.97,-999,Total,mass,1.22,1.5,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,878,390,"non-tropical,",0.1,1.06,0.12,1.87
SG23i,YES,46.5,33.97,-999,Total,mass,2.95,1,no,medium,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,878,390,"non-tropical,",0.15,0.71,0.16,1.07
SG23j,YES,46.5,33.97,-999,Total,mass,1.69,1,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,878,390,"non-tropical,",0.07,0.78,0.1,1.49
SG23k,YES,46.5,33.97,-999,Total,mass,3.59,2.38,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,878,390,"non-tropical,",0.15,1.39,0.16,1.6
SG23l,YES,46.12,34.2,-999,Total,mass,2.14,1,no,medium,0,0,0,0,1,1,0,0,-999,N,N,Grassland,10,878,400,"non-tropical,",0.13,0.76,0.15,1.3
SG23m,YES,46.12,34.2,-999,Total,mass,2.3,1,no,medium,0,0,0,0,1,1,0,0,-999,N,N,Grassland,10,878,400,"non-tropical,",0.12,0.77,0.15,1.36
SG23n,YES,46.12,34.2,-999,Total,mass,1.69,1,no,medium,0,0,0,0,1,1,0,0,-999,N,N,Grassland,10,878,400,"non-tropical,",0.09,0.8,0.14,1.53
SG24,YES,-38.75,-63.75,-999,Total,number,-999,0.6,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,977,400,summer maximum,0.29,0.55,0.36,0.98
SG26a,YES,45.87,-111.18,1360,5,mass,0.9,0.7,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1096,360,summer maximum,0.19,0.62,0.28,1.18
SG30a,YES,51.95,106.78,-999,Total,mass,1.51,0.5,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,640,435,summer maximum,0.04,0.31,0.04,0.47
SG30b,YES,51.95,106.78,-999,Total,mass,2.49,0.5,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,640,435,summer maximum,0.07,0.38,0.08,0.64
SG30c,YES,51.95,106.78,-999,Total,mass,1.54,0.5,no,-999,0,0,0,0,1,1,1,0,-999,N,N,Grassland,10,640,435,summer maximum,0.06,0.32,0.07,0.43
SG31,YES,46.45,-117.02,350,Total,mass,0.1,1.6,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1069,355,winter maximum,0.2,1.29,0.27,2.29
SG33,YES,52.13,-106.63,-999,Total,mass,1.88,1.22,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,881,362,summer maximum,0.08,0.6,0.08,0.76
SG34,NO,31.7,-110.05,-999,Total,mass,0.64,0.91,yes,-999,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1654,343,summer maximum,0.05,0.66,0.06,0.96
TC02,YES,51.95,9.73,-999,2,mass,0.25,0.85,no,coarse,5,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,637,781,"non-tropical,",0.25,0.62,0.26,0.76
TC04,YES,42.5,-72.2,-999,3,mass,0.51,0.98,no,medium,8,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,779,1050,"non-tropical,",0.22,0.79,0.25,1.31
TC05,YES,51.72,-1.25,-999,Total,mass,1.42,1.07,no,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,730,650,"non-tropical,",0.51,0.86,0.51,0.95
TC06,YES,44.93,-68.65,-999,3,mass,0.7,0.45,no,medium,5,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,611,1033,"non-tropical,",0.06,0.23,0.06,0.26
TC08,YES,49.32,16.67,460,5,mass,-999,1,no,fine,0,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,732,628,summer maximum,0.16,0.74,0.17,1.14
TC09a,YES,57.62,-3.73,<100,Total,mass,4.19,0.61,no,coarse,0,0,1,1,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,595,607,"non-tropical,",0.18,0.47,0.19,0.64
TC09b,YES,57.62,-3.73,<100,Total,mass,4.71,1.22,no,coarse,0.6,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,595,607,"non-tropical,",0.24,0.89,0.25,1.27
TC09c,YES,57.62,-3.73,<100,Total,mass,6.73,1.22,no,coarse,1.3,0,1,0,0,0,1,0,evergreen,N,N,ENL forest / tempera,1,595,607,"non-tropical,",0.29,1.03,0.37,1.82
TC09d,YES,57.62,-3.73,<100,Total,mass,10.42,1.52,no,coarse,1.3,0,1,0,0,0,1,0,evergreen,N,N,ENL forest / tempera,1,595,607,"non-tropical,",0.32,1.24,0.38,2.08
TC10a,YES,53.13,9.78,70,2,mass,0.6,1,no,coarse,4.5,0,1,0,1,1,0,0,evergreen,Y,N,ENL plantation / tem,1,729,740,"non-tropical,",0.09,0.75,0.12,1.33
TC10b,YES,52.6,10.03,40,2,mass,0.76,1,no,coarse,5,0,1,0,1,1,0,0,evergreen,Y,N,ENL plantation / tem,1,744,700,"non-tropical,",0.1,0.69,0.11,1.11
TC10c,YES,53.13,9.78,85,2,mass,0.55,1,no,coarse,6,0,1,0,1,1,0,0,evergreen,Y,N,ENL plantation / tem,1,729,740,"non-tropical,",0.12,0.77,0.15,1.35
TC10d,YES,52.83,10.28,78,2,mass,0.6,1,yes,organic,40,0,1,0,1,1,1,0,evergreen,Y,N,ENL plantation / tem,1,744,705,"non-tropical,",0.06,0.29,0.06,0.3
TC10e,YES,52.41,10.13,68,2,mass,0.33,1,no,coarse,8,0,1,0,0,1,1,0,evergreen,Y,N,ENL plantation / tem,1,638,700,"non-tropical,",0.11,0.7,0.12,1.11
TC10f,YES,53.07,10.57,55,2,mass,0.47,1,no,medium,6,0,1,0,1,1,1,0,evergreen,Y,N,ENL plantation / tem,1,702,600,"non-tropical,",0.11,0.79,0.15,1.45
TC10g,YES,52.25,11.03,145,2,mass,0.35,1,no,coarse,5.5,0,1,0,1,1,1,0,evergreen,Y,N,ENL plantation / tem,1,608,630,"non-tropical,",0.1,0.73,0.12,1.23
TC10h,YES,51.58,9.85,180,2,mass,0.32,1,yes,medium,0,0,1,0,0,0,1,0,evergreen,Y,N,ENL plantation / tem,1,637,610,"non-tropical,",0.21,0.8,0.25,1.32
TC12,YES,47.05,16.45,240,Total,mass,1.1,1.03,yes,medium,2.5,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,763,750,summer maximum,0.06,0.36,0.06,0.4
TC15a,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.13,0.4,0.14,0.42
TC15b,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.13,0.55,0.13,0.65
TC15c,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.16,0.63,0.17,0.78
TC15d,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.13,0.56,0.14,0.67
TC15e,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.18,0.65,0.19,0.83
TC15f,YES,50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.15,0.62,0.15,0.79
