latitude,longitude,tovr
49.05,15.43,10.86
49.74,14.47,11.75
49.93,12.86,17.19
49.29,14.81,10.31
49.5,13.2,13.42
49.85,13.75,34.82
50.11,16.9,27.2
49.46,15.75,8.96
50.17,17.2,18.89
49.47,15.16,9.4
49.7,16.64,11.79
48.91,14.89,27.25
49.04,15.39,11.61
49.8,16.5,33.78
49.42,12.99,17.45
49.88,14.97,13.91
49.02,15.41,12.06
49.38,14.95,10.68
49.5,13.28,14.5
50.58,15.18,10.36
50.45,15.79,32.75
50.93,15.11,11.15
49.97,15.81,14.16
49.59,13.4,13.98
49.76,12.73,10.14
49.61,13.36,13.51
49.55,12.89,14.96
49.2,14.65,12.67
49.95,15.51,14.91
50.91,15.09,29.02
50.65,14.54,14.36
49.33,14.58,11.42
50.13,15.85,15.22
50.15,12.28,21.09
49.7,16.27,13.49
48.83,14.44,12.96
49.87,14.97,13.81
51.0,14.55,30.34
49.42,14.6,9.41
50.13,16.99,19.16
49.4,13.69,8.87
50.25,12.17,34.67
49.8,14.51,13.06
49.46,14.48,29.25
50.01,13.1,17.96
49.27,14.19,10.12
50.0,13.24,35.62
49.43,13.94,9.78
49.54,12.86,12.8
49.78,14.52,14.03
49.56,14.99,11.9
49.58,16.59,9.65
50.1,13.38,17.88
49.64,16.13,36.31
49.95,16.57,32.95
50.69,14.04,19.84
50.75,15.35,25.91
49.04,14.63,10.75
49.98,17.52,16.04
50.72,14.19,35.77
49.01,14.64,10.99
49.1,14.59,11.53
49.89,13.65,13.21
49.67,14.26,31.23
50.03,16.27,10.22
50.5,16.07,27.48
50.91,15.02,26.79
50.73,14.69,11.21
49.33,13.17,13.57
49.79,14.17,25.56
50.6,13.48,23.93
49.2,14.0,25.81
50.74,15.62,51.73
50.13,16.77,10.42
50.47,15.2,0.64
49.25,13.85,11.86
49.18,13.88,12.83
49.8,16.06,10.95
50.67,13.78,19.41
49.81,14.39,36.5
49.74,16.34,8.53
50.72,15.04,28.41
49.48,16.42,9.93
50.31,17.1,9.92
50.05,15.89,12.6
49.82,16.34,11.28
48.67,14.19,27.59
49.43,14.41,2.26
49.03,13.58,29.14
49.91,12.96,11.75
49.71,14.26,30.61
49.58,15.62,9.83
50.3,17.05,27.14
49.76,12.91,12.34
49.74,14.57,12.35
49.14,14.49,10.96
50.6,13.66,31.83
50.61,14.52,9.49
50.73,14.04,21.1
48.95,14.25,46.16
50.06,12.8,20.39
49.72,14.28,34.91
49.13,15.2,39.03
50.41,15.91,9.78
48.66,14.58,31.62
49.19,15.28,14.38
48.68,14.29,34.62
50.11,12.82,22.88
48.99,14.92,19.22
49.99,13.21,32.37
50.56,15.67,27.47
49.36,13.41,38.29
49.71,13.97,14.17
49.94,12.62,33.02
50.11,12.65,24.43
49.42,12.91,15.36
49.33,14.39,12.09
49.79,12.81,13.65
49.5,14.99,6.91
49.66,13.64,28.23
49.58,13.31,13.64
49.47,13.85,10.1
49.66,16.34,40.5
49.29,13.95,10.37
50.18,13.63,18.04
50.73,14.38,18.47
50.58,15.43,9.9
50.66,15.11,26.66
49.98,13.25,30.9
49.72,15.87,38.76
49.31,15.33,10.39
49.03,14.38,11.78
49.05,14.21,9.19
49.5,12.91,13.1
49.61,14.75,14.41
49.44,14.42,11.34
48.96,15.51,13.82
49.73,15.9,41.97
49.83,15.91,14.41
49.96,15.63,14.16
48.99,14.28,15.88
49.54,15.06,9.31
50.34,16.26,24.55
50.06,16.35,15.01
50.69,14.35,31.48
50.98,15.08,25.6
