latitude,longitude,tovr
-6.77,16.2,34.14
-8.42,16.21,48.71
-9.17,16.27,32.08
-6.62,16.28,30.54
-9.31,16.34,31.66
-8.32,16.36,9.59
-8.1,16.36,36.46
-9.2,16.37,20.71
-8.28,16.38,37.14
-9.61,16.39,20.95
-7.07,16.39,22.91
-9.58,16.41,18.45
-7.63,16.42,16.83
-6.18,16.44,27.14
-9.51,16.48,18.8
-9.23,16.5,24.46
-8.37,16.5,3.57
-8.77,16.56,21.53
-8.21,16.58,35.28
-6.21,16.59,35.83
-9.51,16.64,12.29
-7.83,16.64,24.59
-8.43,16.66,29.94
-8.8,16.7,10.24
-8.42,16.71,27.05
-7.18,16.78,19.92
-9.48,16.79,14.98
-8.38,16.81,13.46
-8.9,16.82,1.69
-8.8,16.82,16.3
-8.8,16.83,62.85
-9.4,16.84,32.35
-8.75,16.87,96.46
-7.08,16.91,59.88
-8.66,16.92,12.98
-7.7,16.96,7.54
-8.55,16.97,38.03
-7.31,17.02,10.95
-9.26,17.05,12.06
-8.9,17.05,12.6
-9.15,17.06,15.61
-9.27,17.08,25.75
-8.29,17.13,15.9
-8.29,17.27,17.91
-8.97,17.35,6.76
-8.89,17.37,51.96
-8.44,17.39,24.05
-9.01,17.44,53.74
-8.85,17.51,69.84
-9.2,17.52,13.32
-8.64,17.56,15.93
-9.53,17.75,16.65
-9.54,17.78,5.65
-9.61,17.79,21.72
-9.55,17.81,9.14
-9.53,17.86,43.19
-9.69,17.91,9.17
-9.66,17.91,11.57
-9.48,18.24,23.63
-10.09,18.34,17.43
-9.95,18.37,4.16
-5.88,12.41,18.11
-5.88,12.41,30.13
-5.07,12.47,15.2
-5.82,12.76,39.32
-5.69,13.1,60.12
-5.64,13.21,38.68
-5.52,13.37,53.58
-5.77,13.44,74.61
-5.77,13.44,43.53
-5.58,13.45,95.5
-5.23,13.52,51.75
-5.77,13.64,97.55
-5.11,14.09,181.71
-5.63,14.27,28.53
-4.89,14.37,12.8
-4.5,14.37,38.3
-4.32,14.37,87.62
-5.59,14.42,113.97
-5.58,14.61,88.96
-5.59,14.63,40.3
-5.46,14.69,59.59
-5.08,14.84,11.21
-5.45,14.9,67.55
-5.45,14.9,69.14
-5.45,14.9,61.08
-5.45,14.9,79.19
-5.46,14.93,2541.18
-5.73,14.94,29.96
-5.52,14.97,24.3
-5.17,15.04,84.04
-4.87,15.04,34.83
-4.62,15.14,28.93
-5.37,15.25,25.06
-5.7,15.27,27.6
-4.33,15.52,18.77
-4.21,15.57,159.01
-4.19,15.72,81.48
-4.19,15.72,137.74
-4.19,15.72,74.18
-5.72,15.89,22.08
-5.73,15.94,37.94
-5.73,15.97,19.36
-5.74,15.99,17.0
-4.16,13.62,29.25
-4.35,13.77,133.44
-4.11,13.88,42.09
-1.75,10.83,24.37
-2.35,11.39,56.11
-2.22,11.53,27.48
-0.13,11.72,60.99
-1.76,13.55,34.61
-1.75,13.58,72.93
-1.75,13.6,51.14
-6.15,12.37,43.95
-6.15,12.46,53.33
-6.16,12.63,4.23
-5.92,12.98,26.66
-5.93,12.99,28.98
-5.84,12.97,32.32
-5.84,12.97,48.6
-5.83,13.01,51.62
-5.86,13.1,53.04
4.43,8.94,52.78
4.41,8.94,200.71
4.51,8.96,79.11
4.5,8.96,58.98
